model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
gru,SKAB,original,123,1,0.9233682334595679,0.8878748370273793,0.8878748370273793,0.8878748370273793,"{'0': 2955, '1': 1534}",False,0.0,154.24466133117676,,
cnn1d,SKAB,original,123,1,0.9117843617732234,0.8574120603015075,0.8898305084745762,0.8733205374280231,"{'0': 2897, '1': 1592}",False,0.0,159.17611122131348,,
automata,SKAB,original,123,1,0.5641025641025641,0.41583366653338666,0.6779661016949152,0.5154894671623296,"{'0': 1984, '1': 2501}",False,55.8621883392334,2.332448959350586,high,-0.29230406813461635
lstm,SKAB,gaussian_noise,123,1,0.5575852082869236,0.3751381215469613,0.4426336375488918,0.4061004784688995,"{'0': 2679, '1': 1810}",False,0.0,136.26956939697266,,
gru,SKAB,gaussian_noise,123,1,0.6199599019826242,0.43533834586466164,0.3774445893089961,0.40432960893854747,"{'0': 3159, '1': 1330}",False,0.0,159.38591957092285,,
cnn1d,SKAB,gaussian_noise,123,1,0.4134551124972154,0.36085084831602937,0.9289439374185137,0.5197884369870509,"{'0': 540, '1': 3949}",False,0.0,221.07481956481934,,
automata,SKAB,gaussian_noise,123,1,0.6365663322185061,0.33783783783783783,0.0651890482398957,0.1092896174863388,"{'0': 4189, '1': 296}",False,57.79600143432617,3.0412673950195312,high,-0.29230406813461635
lstm,SKAB,original,123,2,0.8308170515097691,0.9456869009584664,0.5553470919324578,0.6997635933806147,"{'0': 3565, '1': 939}",False,0.0,152.5137424468994,,
gru,SKAB,original,123,2,0.8423623445825933,0.9868565169769989,0.5634771732332708,0.7173566878980892,"{'0': 3591, '1': 913}",False,0.0,138.7951374053955,,
cnn1d,SKAB,original,123,2,0.8428063943161634,0.9922651933701657,0.5616010006253909,0.7172523961661342,"{'0': 3599, '1': 905}",False,0.0,214.42890167236328,,
automata,SKAB,original,123,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,54.728031158447266,3.997325897216797,high,-7.347943823148687
lstm,SKAB,gaussian_noise,123,2,0.5299733570159858,0.362087326943557,0.4252657911194497,0.3911417888984757,"{'0': 2626, '1': 1878}",False,0.0,122.76554107666016,,
gru,SKAB,gaussian_noise,123,2,0.6210035523978685,0.4059233449477352,0.14571607254534083,0.21445006902899216,"{'0': 3930, '1': 574}",False,0.0,182.99579620361328,,
cnn1d,SKAB,gaussian_noise,123,2,0.3550177619893428,0.3550177619893428,1.0,0.5240045879075864,{'1': 4504},True,0.0,186.61093711853027,,
automata,SKAB,gaussian_noise,123,2,0.3557777777777778,0.3554913294797688,1.0,0.5245202558635395,"{'0': 2, '1': 4498}",False,54.25143241882324,2.2382736206054688,high,-7.347943823148687
lstm,SKAB,original,123,3,0.9315408947130592,0.9196891191709845,0.8880550343964978,0.9035952911231308,"{'0': 2882, '1': 1544}",False,0.0,139.85538482666016,,
gru,SKAB,original,123,3,0.9446452779032987,0.9707927677329624,0.8730456535334584,0.9193282844912742,"{'0': 2988, '1': 1438}",False,0.0,169.09122467041016,,
cnn1d,SKAB,original,123,3,0.92950745594216,0.9075364154528183,0.8961851156973109,0.9018250471994965,"{'0': 2847, '1': 1579}",False,0.0,199.18584823608398,,
automata,SKAB,original,123,3,0.37675260063319765,0.3664897299792292,0.9931207004377736,0.5354012137559002,"{'0': 89, '1': 4333}",False,60.99891662597656,3.0024051666259766,high,-2.8159105930045913
lstm,SKAB,gaussian_noise,123,3,0.5476728422955265,0.40204180845892074,0.517198248905566,0.4524070021881838,"{'0': 2369, '1': 2057}",False,0.0,129.69565391540527,,
gru,SKAB,gaussian_noise,123,3,0.5519656574785359,0.3859857482185273,0.4065040650406504,0.395979287237283,"{'0': 2742, '1': 1684}",False,0.0,155.02047538757324,,
cnn1d,SKAB,gaussian_noise,123,3,0.36172616357885223,0.3613749434644957,0.9993746091307066,0.5308088357415711,"{'0': 4, '1': 4422}",False,0.0,175.21166801452637,,
automata,SKAB,gaussian_noise,123,3,0.5649027589326097,0.37566947207345064,0.3070669168230144,0.3379215416379904,"{'0': 3115, '1': 1307}",False,38.00487518310547,3.0012130737304688,high,-2.8159105930045913
lstm,SKAB,original,123,4,0.9199205823957644,0.9042119565217391,0.8570508692852543,0.88,"{'0': 3061, '1': 1472}",False,0.0,151.11827850341797,,
gru,SKAB,original,123,4,0.9322744319435252,0.9431009957325747,0.8538312942691565,0.8962487326799594,"{'0': 3127, '1': 1406}",False,0.0,142.65990257263184,,
cnn1d,SKAB,original,123,4,0.9362453121553055,0.9606413994169096,0.8486799742433999,0.9011965811965812,"{'0': 3161, '1': 1372}",False,0.0,163.07592391967773,,
automata,SKAB,original,123,4,0.4952528151909914,0.38256968920217876,0.7688345138441726,0.5109114249037228,"{'0': 1408, '1': 3121}",False,47.44577407836914,3.032207489013672,low,-0.011993499962423406
lstm,SKAB,gaussian_noise,123,4,0.45047429958085156,0.36222091656874267,0.793947198969736,0.4974783134960662,"{'0': 1129, '1': 3404}",False,0.0,149.28889274597168,,
gru,SKAB,gaussian_noise,123,4,0.49658063092874477,0.3730407523510972,0.6896329684481648,0.48417721518987344,"{'0': 1662, '1': 2871}",False,0.0,133.1315040588379,,
cnn1d,SKAB,gaussian_noise,123,4,0.3812045003309067,0.3528443817583451,0.9665164198325821,0.5169622868951266,"{'0': 279, '1': 4254}",False,0.0,146.88658714294434,,
automata,SKAB,gaussian_noise,123,4,0.3689556193420181,0.3502409915079183,0.9826142949130715,0.5164128595600677,"{'0': 172, '1': 4357}",False,52.33120918273926,2.9985904693603516,low,-0.011993499962423406
lstm,BATADAL,original,123,0,0.6830732292917167,0.030612244897959183,0.075,0.043478260869565216,"{'0': 637, '1': 196}",False,0.0,31.917572021484375,,
gru,BATADAL,original,123,0,0.7034813925570228,0.02824858757062147,0.0625,0.038910505836575876,"{'0': 656, '1': 177}",False,0.0,22.289276123046875,,
cnn1d,BATADAL,original,123,0,0.7575030012004802,0.03076923076923077,0.05,0.0380952380952381,"{'0': 703, '1': 130}",False,0.0,28.001070022583008,,
automata,BATADAL,original,123,0,0.8383594692400482,0.05,0.0375,0.04285714285714286,"{'0': 769, '1': 60}",False,11.000394821166992,0.0,low,-2.1302391889579746
lstm,BATADAL,gaussian_noise,123,0,0.765906362545018,0.12903225806451613,0.25,0.1702127659574468,"{'0': 678, '1': 155}",False,0.0,31.002044677734375,,
gru,BATADAL,gaussian_noise,123,0,0.5354141656662665,0.03903903903903904,0.1625,0.06295399515738499,"{'0': 500, '1': 333}",False,0.0,40.138959884643555,,
cnn1d,BATADAL,gaussian_noise,123,0,0.737094837935174,0.013986013986013986,0.025,0.017937219730941704,"{'0': 690, '1': 143}",False,0.0,42.2358512878418,,
automata,BATADAL,gaussian_noise,123,0,0.7322074788902292,0.11413043478260869,0.2625,0.1590909090909091,"{'0': 645, '1': 184}",False,15.047073364257812,0.0,low,-2.1302391889579746
lstm,SKAB,original,2026,0,0.9009988901220866,0.8907922912205567,0.8098637248539909,0.8484024473147519,"{'0': 3104, '1': 1401}",False,0.0,134.44948196411133,,
gru,SKAB,original,2026,0,0.893007769145394,0.8659295093296475,0.8131083711875405,0.8386880856760375,"{'0': 3058, '1': 1447}",False,0.0,343.0829048156738,,
cnn1d,SKAB,original,2026,0,0.8741398446170922,0.8113810741687979,0.8234912394548994,0.8173913043478261,"{'0': 2941, '1': 1564}",False,0.0,182.63959884643555,,
automata,SKAB,original,2026,0,0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,66.19572639465332,2.1796226501464844,high,-0.3985185916839477
lstm,SKAB,gaussian_noise,2026,0,0.4974472807991121,0.3684976355038196,0.6573653471771577,0.4722610722610723,"{'0': 1756, '1': 2749}",False,0.0,130.5830478668213,,
gru,SKAB,gaussian_noise,2026,0,0.5755826859045505,0.3891213389121339,0.4224529526281635,0.40510267579340387,"{'0': 2832, '1': 1673}",False,0.0,152.34136581420898,,
cnn1d,SKAB,gaussian_noise,2026,0,0.40266370699223086,0.3571073558648111,0.9325113562621674,0.5164420485175202,"{'0': 481, '1': 4024}",False,0.0,171.2174415588379,,
automata,SKAB,gaussian_noise,2026,0,0.6449677849366807,0.3855421686746988,0.06229720960415315,0.10726256983240223,"{'0': 4252, '1': 249}",False,62.134504318237305,2.120494842529297,high,-0.3985185916839477
lstm,SKAB,original,2026,1,0.9235910002227667,0.8849385908209437,0.8924380704041721,0.8886725089256735,"{'0': 2942, '1': 1547}",False,0.0,118.63303184509277,,
gru,SKAB,original,2026,1,0.9180218311427935,0.8685208596713021,0.8956975228161669,0.8818998716302953,"{'0': 2907, '1': 1582}",False,0.0,152.89640426635742,,
cnn1d,SKAB,original,2026,1,0.9182445979059924,0.8667504714016342,0.8989569752281616,0.88256,"{'0': 2898, '1': 1591}",False,0.0,200.9902000427246,,
